image,xmin,ymin,xmax,ymax,label
0162dad8330007f8f0daf43bcf4033f1.png,700,181,711,187,Nodule
077c76dffde69c0b90c28d78ef2ac31e.png,188,671,225,701,Nodule
1d36704fc4f9a8f997128b92551bbc4d.png,640,283,659,299,Nodule
23cc21ad490ea10045c00fba3a208b3f.png,383,245,453,302,Nodule
2dd5e1ec060f1389e24a4caffa6d534e.png,194,686,214,702,Nodule
2dd5e1ec060f1389e24a4caffa6d534e.png,143,700,160,711,Nodule
68f7ee667e33c638abc21bcd543ad9d5.png,305,314,417,414,Nodule
7d3e79d32d233140b7e30880739a42c4.png,621,214,796,340,Nodule
81e1bdd75db3ed8260cd2a8a206107a4.png,516,214,701,394,Nodule
8cd75497ddd543845e5a151e9a3b7561.png,742,354,755,366,Nodule
8d74ba04415b33be3134b55c868016f8.png,431,204,585,360,Nodule
90823fdce55e57a5c6de680ccf9ffc38.png,613,432,663,476,Nodule
a4ce4aaed43f660e1055d6f30e4da63f.png,799,313,842,347,Nodule
b3d1eabc4bb5b66d92f3fae7ddb67b29.png,645,218,733,353,Nodule
b5585b9fe48edd5d89069a8d6ca07543.png,560,562,577,576,Nodule
be78bb12b31ef59665212f778a7ca895.png,254,390,388,496,Nodule
f58508942604632676c1df2639e18010.png,168,453,342,647,Nodule
fa9cd1a78a6d2d8d6e918a8c4125faf4.png,577,171,783,458,Nodule
n0008.png,557,676,617,739,Nodule
n0022.png,814,664,848,699,Nodule
n0033.png,214,319,264,379,Nodule
n0038.png,839,326,874,368,Nodule
n0051.png,218,333,269,382,Nodule
n0051.png,181,487,205,516,Nodule
n0051.png,847,349,873,368,Nodule
n0052.png,585,324,684,416,Nodule
n0072.png,193,573,347,732,Nodule
n0073.png,308,208,329,229,Nodule
n0073.png,611,249,653,302,Nodule
n0078.png,310,817,350,859,Nodule
n0081.png,151,578,210,630,Nodule
n0085.png,104,754,160,810,Nodule
n0100.png,236,378,287,419,Nodule
n0126.png,820,609,867,652,Nodule
n0133.png,251,478,303,543,Nodule
n0134.png,183,625,243,685,Nodule
n0164.png,634,342,740,450,Nodule
n0164.png,567,341,642,420,Nodule
n0177.png,155,478,252,575,Nodule
n0189.png,687,257,738,307,Nodule
n0192.png,286,550,352,611,Nodule
n0192.png,796,672,877,743,Nodule
n0201.png,182,642,227,690,Nodule
n0205.png,730,545,777,589,Nodule
n0240.png,739,549,819,630,Nodule
n0252.png,840,625,913,691,Nodule
n0348.png,731,617,787,672,Nodule
n0348.png,827,762,875,811,Nodule
n0348.png,691,817,745,872,Nodule
n0374.png,708,730,761,793,Nodule
n0405.png,772,412,816,454,Nodule
n0465.png,826,584,869,630,Nodule
n0468.png,176,654,224,710,Nodule
n0470.png,735,362,822,449,Nodule
n0505.png,705,576,748,618,Nodule
n0509.png,132,731,191,785,Nodule
n0517.png,230,396,300,458,Nodule
n0522.png,331,587,409,673,Nodule
n0537.png,709,168,784,232,Nodule
n0549.png,651,583,759,699,Nodule
n0555.png,665,353,708,397,Nodule
n0562.png,206,658,258,704,Nodule
n0562.png,607,472,700,549,Nodule
n0586.png,808,426,872,526,Nodule
n0617.png,117,681,161,729,Nodule
n0620.png,272,445,311,485,Nodule
n0621.png,664,186,724,246,Nodule
n0630.png,746,702,781,737,Nodule
n0638.png,196,369,244,417,Nodule
n0648.png,241,576,290,624,Nodule
n0648.png,710,653,753,708,Nodule
n0649.png,800,444,850,494,Nodule
n0666.png,705,248,750,313,Nodule
n0671.png,742,407,778,436,Nodule
n0689.png,696,291,728,334,Nodule
n0694.png,826,691,894,744,Nodule
n0694.png,727,744,802,815,Nodule
n0712.png,734,480,776,523,Nodule
n0723.png,878,390,915,427,Nodule
n0728.png,825,740,859,779,Nodule
n0757.png,566,516,613,592,Nodule
n0757.png,647,463,735,548,Nodule
n0757.png,736,402,805,482,Nodule
n0763.png,280,413,361,475,Nodule
n0787.png,281,694,375,793,Nodule
n0807.png,202,716,236,750,Nodule
n0865.png,674,294,751,369,Nodule
n0882.png,314,727,350,764,Nodule
n0885.png,771,727,868,824,Nodule
n0887.png,717,392,825,502,Nodule
n0887.png,818,756,861,791,Nodule
n0952.png,689,278,738,317,Nodule
n0963.png,128,675,193,740,Nodule
n0977.png,762,674,816,739,Nodule
n0987.png,126,495,179,545,Nodule
n0995.png,352,445,358,467,Nodule
n1008.png,767,645,839,700,Nodule
n1012.png,836,365,888,437,Nodule
n1034.png,720,413,822,515,Nodule
n1066.png,144,543,195,602,Nodule
n1075.png,758,552,799,593,Nodule
n1095.png,347,233,390,270,Nodule
n1095.png,373,284,412,336,Nodule
n1102.png,159,520,212,573,Nodule
n1110.png,874,728,908,772,Nodule
n1117.png,606,467,657,529,Nodule
n1120.png,704,650,741,696,Nodule
n1132.png,728,700,767,727,Nodule
n1132.png,787,662,858,722,Nodule
n1132.png,721,342,763,371,Nodule
